id	especie	condicion
43	Festuca	vivo
44	Festuca	vivo
45	Festuca	vivo
46	Festuca	vivo
47	Festuca	vivo
48	Festuca	vivo
49	Festuca	vivo
50	Festuca	vivo
51	Festuca	vivo
52	Festuca	vivo
53	Festuca	vivo
54	Festuca	vivo
55	Festuca	vivo
56	Festuca	vivo
57	Festuca	vivo
58	Festuca	vivo
59	Festuca	vivo
60	Festuca	vivo
61	Festuca	vivo
62	Festuca	vivo
63	Festuca	vivo
64	Festuca	vivo
65	Festuca	vivo
66	Festuca	vivo
67	Festuca	vivo
68	Festuca	vivo
69	Festuca	vivo
70	Festuca	vivo
71	Festuca	vivo
72	Festuca	vivo
73	Festuca	vivo
74	Festuca	vivo
75	Festuca	vivo
76	Festuca	vivo
77	Festuca	vivo
78	Festuca	vivo
79	Festuca	vivo
80	Festuca	vivo
1	Stipa	vivo
2	Stipa	vivo
3	Stipa	vivo
4	Stipa	vivo
5	Stipa	vivo
6	Stipa	vivo
7	Stipa	vivo
8	Stipa	vivo
9	Stipa	vivo
10	Stipa	vivo
11	Stipa	vivo
12	Stipa	vivo
13	Stipa	vivo
14	Stipa	vivo
15	Stipa	vivo
16	Stipa	vivo
17	Stipa	vivo
18	Stipa	vivo
19	Stipa	vivo
20	Stipa	vivo
21	Stipa	vivo
22	Stipa	vivo
23	Stipa	vivo
24	Stipa	vivo
25	Stipa	vivo
26	Stipa	vivo
27	Stipa	vivo
28	Stipa	vivo
29	Stipa	vivo
30	Stipa	vivo
31	Stipa	vivo
32	Stipa	vivo
33	Stipa	vivo
34	Stipa	vivo
35	Stipa	vivo
36	Stipa	vivo
37	Stipa	vivo
38	Stipa	vivo
39	Stipa	vivo
40	Stipa	vivo
41	Stipa	vivo
42	Stipa	vivo
43	Stipa	vivo
44	Stipa	vivo
45	Stipa	vivo
46	Stipa	vivo
47	Stipa	vivo
48	Stipa	vivo
49	Stipa	vivo
50	Stipa	vivo
51	Stipa	vivo
52	Stipa	vivo
53	Stipa	vivo
54	Stipa	vivo
55	Stipa	vivo
56	Stipa	vivo
57	Stipa	vivo
58	Stipa	vivo
59	Stipa	vivo
60	Stipa	vivo
61	Stipa	vivo
62	Stipa	vivo
63	Stipa	vivo
64	Stipa	vivo
65	Stipa	vivo
66	Stipa	vivo
67	Stipa	vivo
68	Stipa	vivo
69	Stipa	vivo
70	Stipa	vivo
71	Stipa	vivo
72	Stipa	vivo
73	Stipa	vivo
74	Stipa	vivo
75	Stipa	vivo
76	Stipa	vivo
77	Stipa	vivo
78	Stipa	vivo
79	Stipa	vivo
80	Stipa	vivo
81	Stipa	vivo
82	Stipa	vivo
83	Stipa	vivo
84	Stipa	vivo
85	Stipa	vivo
86	Stipa	vivo
87	Stipa	vivo
88	Stipa	vivo
89	Stipa	vivo
90	Stipa	vivo
91	Stipa	vivo
92	Stipa	vivo
93	Stipa	vivo
94	Stipa	vivo
95	Stipa	vivo
96	Stipa	vivo
97	Stipa	vivo
98	Stipa	vivo
99	Stipa	vivo
100	Stipa	vivo
101	Stipa	vivo
102	Stipa	vivo
103	Stipa	vivo
104	Stipa	vivo
105	Stipa	vivo
106	Stipa	vivo
107	Stipa	vivo
108	Stipa	vivo
109	Stipa	vivo
110	Stipa	vivo
111	Stipa	vivo
112	Stipa	vivo
113	Stipa	vivo
114	Stipa	vivo
115	Stipa	vivo
116	Stipa	vivo
117	Stipa	vivo
118	Stipa	vivo
119	Stipa	vivo
120	Stipa	vivo
121	Stipa	vivo
122	Stipa	vivo
123	Stipa	vivo
124	Stipa	vivo
125	Stipa	vivo
126	Stipa	vivo
127	Stipa	vivo
128	Stipa	vivo
129	Stipa	vivo
130	Stipa	vivo
131	Stipa	vivo
132	Stipa	vivo
133	Stipa	vivo
134	Stipa	vivo
135	Stipa	vivo
136	Stipa	vivo
137	Stipa	vivo
138	Stipa	vivo
139	Stipa	vivo
140	Stipa	vivo
141	Stipa	vivo
